,Number,Name_of_Covered_Entity,State,Business_Associate_Involved,Individuals_Affected,Date_of_Breach,Type_of_Breach,Location_of_Breached_Information,Date_Posted_or_Updated,,breach_start,breach_end,year
73,72,UnitedHealth Group health plan single affiliated covered entity,MN,,735,03/02/10,Theft,"Other, Paper",23/01/14,,02/03/10,NA,2010
74,73,South Texas Veterans Health Care System,TX,,1430,9/30/2009,"Loss, Improper Disposal",Paper,23/01/14,,30/09/09,NA,2009
75,74,Rockbridge Area Community Services,VA,,500,03/12/10,Theft,"Laptop, Desktop Computer",23/01/14,,12/03/10,NA,2010
76,75,"Emergency Healthcare Physicians, Ltd.",IL,"Millennium Medical Management Resources, Inc.",180111,2/27/2010,Theft,"Other Portable Electronic Device, Other",23/01/14,,27/02/10,NA,2010
77,76,VA Eastern Colorado Health Care System,CO,,649,1/19/2010,Theft,Paper,19/06/14,,19/01/10,NA,2010
78,77,Miami VA Healthcare System,FL,,568,1/19/2010,Loss,Paper,23/01/14,,19/01/10,NA,2010
79,78,"Heriberto Rodriguez-Ayala, M.D.",TX,,4200,04/03/10,Theft,Laptop,23/01/14,,03/04/10,NA,2010
80,79,Georgetown University Hospital,DC,,2416,3/26/2010,"Theft, Other","E-mail, Other Portable Electronic Device",23/01/14,,26/03/10,NA,2010
81,80,Silicon Valley Eyecare Optometry and Contact Lenses,CA,,40000,04/02/10,Theft,Network Server,23/01/14,,02/04/10,NA,2010
82,81,Loma Linda University Health Care,CA,,584,04/04/10,Theft,Desktop Computer,23/01/14,,04/04/10,NA,2010
83,82,Veterans Health Administration,DC,Heritage Health Solutions,656,4/22/2010,Theft,Laptop,23/01/14,,22/04/10,NA,2010
84,83,"State of New Mexico Human Services Department, Medical Assistance Division",NM,DentaQuest,9600,3/20/2010,Theft,Laptop,23/01/14,,20/03/10,NA,2010
85,84,Oconee Physician Practices,SC,,653,05/09/10,Theft,Laptop,23/01/14,,09/05/10,NA,2010
86,85,University of Rochester Medical Center and Affiliates,NY,,2628,4/19/2010,Other,Paper,23/01/14,,19/04/10,NA,2010
87,86,Omaha Construction Industry Health and Welfare Plan,NE,DeBoer & Associates,800,01/11/09,Theft,Laptop,23/01/14,,11/01/09,NA,2009
88,87,"City of Charlotte, NC (Health Plan)",NC,,5220,02/03/10,Loss,Other,23/01/14,,03/02/10,NA,2010
89,88,VA North Texas Health Care System,TX,,4083,05/04/10,Improper Disposal,Paper,23/01/14,,04/05/10,NA,2010
90,89,Rainbow Hospice and Palliative Care,IL,,1000,04/12/10,Theft,Laptop,23/01/14,,12/04/10,NA,2010
91,90,Cincinnati Childrens Hospital Medical Center ,OH,,60998,3/27/2010,Theft,Laptop,23/01/14,,27/03/10,NA,2010
92,91,Occupational Health Partners,KS,,1105,05/12/10,Theft,Laptop,23/01/14,,12/05/10,NA,2010
93,92,"AvMed, Inc.",FL,,1220000,12/10/09,Theft,Laptop,30/06/14,,10/12/09,NA,2009
94,93,UnitedHealth Group health plan single affiliated covered entity,MN,,16291,1/26/2010,Other,Paper,23/01/14,,26/01/10,NA,2010
95,94,Lincoln Medical and Mental Health Center,NY,"Siemens Medical Solutions, USA, Inc",130495,3/24/2010,Theft,Other,19/06/14,,24/03/10,NA,2010
96,95,"Nihal Saran, MD ",MI,,2300,05/02/10,Theft,Laptop,23/01/14,,02/05/10,NA,2010
97,96,"University of Louisville Research Foundation, Inc., DBA The Kidney Disease Program",KY,,708,10/01/08,Hacking/IT Incident,Network Server,23/01/14,,01/10/08,NA,2008
98,97,St. Jude Children's Research Hospital,TN,,1745,4/19/2010,Loss,Laptop,23/01/14,,19/04/10,NA,2010
99,98,TennCare,TN,DentaQuest,10515,3/20/2010,Theft,Laptop,20/06/14,,20/03/10,NA,2010
100,99,The Children's Medical Center of Dayton,OH,,1001,4/22/2010,Other,E-mail,23/01/14,,22/04/10,NA,2010
101,100,Comprehensive Care Management Corporation,NY,,1020,4/30/2010,Theft,"Laptop, Desktop Computer, Network Server, E-mail",19/06/14,,30/04/10,NA,2010
102,101,alma aguado md pa,TX,,600,5/29/2010,Theft,Network Server,23/04/14,,29/05/10,NA,2010
103,102,University Hospital,GA,"Augusta Data Storage, Inc",14000,05/07/10,Loss,Other,23/01/14,,07/05/10,NA,2010
104,103,University Health System,NV,,7526,06/11/10,Theft,Network Server,23/01/14,,11/06/10,NA,2010
105,104,"Sinai Hospital of Baltimore, Inc.",MD,"Aramark Healthcare Support Services, LLC",937,05/03/10,Other,E-mail,23/01/14,,03/05/10,NA,2010
106,105,"Mary M. Desch,MD/PathHealer, LTD",AZ,,5893,5/15/2010,Theft,Laptop,23/01/14,,15/05/10,NA,2010
107,106,Children's Hospital & Research Center at Oakland,CA,,1000,5/25/2010,Other,Paper,23/01/14,,25/05/10,NA,2010
108,107,Centerstone,TN,,1537,05/01/10,Other,"Desktop Computer, Paper",23/01/14,,01/05/10,NA,2010
109,108,California Department of Healthcare Services,CA,Care 1st Health Plan,29000,4/29/2010,"Loss, Other","Other Portable Electronic Device, Other",23/01/14,,29/04/10,NA,2010
110,109,Long Island Consultation Center,NY,,800,5/21/2010,Theft,"Other Portable Electronic Device, Other",19/06/14,,21/05/10,NA,2010
111,110,NYU Hospitals Center,NY,,2563,05/08/10,Theft,Other Portable Electronic Device,28/05/14,,08/05/10,NA,2010
112,111,University of Florida,FL,,2047,5/24/2010,Other,Paper,23/01/14,,24/05/10,NA,2010
113,112,SunBridge Healthcare Corporation,NM,,3830,05/11/10,Theft,Laptop,23/01/14,,11/05/10,NA,2010
114,113,Department of Health Care Policy & Financing,CO,Governor's Office of Information Technology,105470,5/17/2010,Theft,Desktop Computer,23/01/14,,17/05/10,NA,2010
115,114,Prince William County Community Services (CS),VA,,669,6/18/2010,Theft,Other Portable Electronic Device,23/01/14,,18/06/10,NA,2010
116,115,"E. Brooks Wilkins Family Medicine, PA",NC,,13000,02/01/10,Theft,"Desktop Computer, Other",23/01/14,,01/02/10,NA,2010
117,116,John Deere Health Benefit Plan for Wage Employees,IL,UnitedHealthcare Insurance Company ,1097,6/24/2010,Other,Paper,23/01/14,,24/06/10,NA,2010
118,117,South Shore Hospital,MA,"Iron Mountain Data Products, Inc. (now known as ",800000,2/26/2010,Loss,"Other Portable Electronic Device, Other, Electronic Medical Record",23/01/14,,26/02/10,NA,2010
119,118,Montefiore Medical Center,NY,,16820,5/22/2010,Theft,Desktop Computer,19/06/14,,22/05/10,NA,2010
120,119,"DC Chartered Health Plan, Inc",DC,,540,5/26/2010,Theft,Laptop,23/01/14,,26/05/10,NA,2010
121,120,Montefiore Medical Center,NY,,23753,06/09/10,Theft,Desktop Computer,19/06/14,,09/06/10,NA,2010
122,121,Medina County OB/GYN,OH,,1200,6/13/2010,Improper Disposal,Paper,23/01/14,,13/06/10,NA,2010
123,122,The University of Texas at Arlington,TX,,27000,2/19/2009,Hacking/IT Incident,Network Server,23/01/14,,19/02/09,NA,2009
124,123,Aetna,CT,,6372,3/29/2010,Improper Disposal,Paper,23/01/14,,29/03/10,NA,2010
125,124,Charles Mitchell MD,TX,,6873,6/27/2010,Theft,Desktop Computer,30/06/14,,27/06/10,NA,2010
126,125,Humana Inc [case 4486],KY,Matrix Imaging,2631,6/25/2010,Other,Paper,23/01/14,,25/06/10,NA,2010
127,126,"WellPoint, Inc.",IN,,31700,11/03/09,Hacking/IT Incident,Network Server,23/01/14,,03/11/09,NA,2009
128,127,Carolina Center for Development and Rehabilitation,NC,,1590,6/24/2010,Theft,Paper,30/06/14,,24/06/10,NA,2010
129,128,Trinity Health Corporation Welfare Benefit Plan,MI,Mercer,1073,3/29/2010,Loss,Other,23/01/14,,29/03/10,NA,2010
130,129,Texas Children's Hospital,TX,,694,5/13/2010,Theft,Laptop,23/01/14,,13/05/10,NA,2010
131,130,Baylor College of Medicine,TX,,1646,5/13/2010,Theft,Laptop,24/04/14,,13/05/10,NA,2010
132,131,Wright State Physicians,OH,,1309,06/11/10,Other,Laptop,23/01/14,,11/06/10,NA,2010
133,132,Penn Treaty Network America Insurance Company ,PA,,560,06/04/10,Other,Other,23/01/14,,04/06/10,NA,2010
134,133,Aultman Hospital,OH,,13867,06/07/10,Theft,Laptop,23/01/14,,07/06/10,NA,2010
135,134,Fort Worth Allergy and Asthma Associates,TX,,25000,6/29/2010,Theft,Network Server,23/01/14,,29/06/10,NA,2010
136,135,"Beauty Dental, Inc.",IL,,657,06/05/10,"Theft, Loss",Paper,23/01/14,,05/06/10,NA,2010
137,136,Walsh Pharmacy,MA,McKesson Pharmacy Systems LLC,11440,06/03/10,Other,"Other Portable Electronic Device, Other",23/01/14,,03/06/10,NA,2010
138,137,Jewish Hospital,KY,,2089,7/16/2010,Theft,Laptop,23/01/14,,16/07/10,NA,2010
139,138,St. John's Mercy Medical Group,MO,,1907,06/07/10,Improper Disposal,Paper,23/01/14,,07/06/10,NA,2010
140,139,"Thomas Jefferson University Hospitals, Inc.",PA,,21000,6/14/2010,Theft,Laptop,23/01/14,,14/06/10,NA,2010
141,140,UNCG Speech and Hearing Center,NC,,2300,01/01/97,Hacking/IT Incident,Desktop Computer,23/01/14,,01/01/97,NA,1997
142,141,Idaho Power Group Health Plan,ID,Mercer Health & Benefits,5500,3/29/2010,Loss,Other,23/01/14,,29/03/10,NA,2010
143,142,Loma Linda University School of Dentistry,CA,,10100,6/13/2010,Theft,Desktop Computer,23/01/14,,13/06/10,NA,2010
144,143,"Ward A. Morris, DDS",WA,,2698,7/16/2010,Theft,Desktop Computer,23/01/14,,16/07/10,NA,2010
145,144,"Chattanooga Family Practice Associates, P.C.",TN,,1711,7/15/2010,Loss,"Other Portable Electronic Device, Other",23/01/14,,15/07/10,NA,2010
146,145,Yale University,CT,,1000,7/28/2010,Theft,Laptop,23/01/14,,28/07/10,NA,2010
147,146,University of Kentucky,KY,,2027,6/18/2010,Theft,Laptop,23/01/14,,18/06/10,NA,2010
148,147,Cook County Health & Hospitals System,IL,,7081,5/30/2010,Theft,Laptop,23/01/14,,30/05/10,NA,2010
149,148,"Eastmoreland Surgical Clinic, William Graham, DO",OR,,4328,07/05/10,Theft,"Laptop, Desktop Computer, Other Portable Electronic Device, Other",23/01/14,,05/07/10,NA,2010
150,149,SunBridge Healthcare Corporation,NM,,1000,6/26/2010,Theft,"Other Portable Electronic Device, Other",23/01/14,,26/06/10,NA,2010
151,150,Holyoke Medical Center,MA,Pioneer Valley Pathology,24750,7/26/2010,Improper Disposal,Paper,23/01/14,,26/07/10,NA,2010
152,151,Newark Beth Israel Medical Center,NJ,KPMG LLP,956,05/10/10,Theft,"Other Portable Electronic Device, Other",19/06/14,,10/05/10,NA,2010
153,152,Saint Barnabas Medical Center,NJ,KPMG LLP,3630,05/10/10,Theft,Other Portable Electronic Device,19/06/14,,10/05/10,NA,2010
154,153,NYU School of Medicine--Aging and Dementia Clinical Research Center ,NY,,1200,04/03/10,Loss,"Other Portable Electronic Device, Other",23/01/14,,03/04/10,NA,2010
155,154,University of Rochester Medical Center and Affiliates,NY,,857,08/02/10,Loss,Other Portable Electronic Device,23/01/14,,02/08/10,NA,2010
156,155,State of Delaware Health Plan,DE,Aon Consulting,22642,8/16/2010,Other,Network Server,23/01/14,,16/08/10,NA,2010
157,156,"Curtis R. Bryan, M.D.",VA,,2739,07/12/10,Theft,Laptop,23/01/14,,12/07/10,NA,2010
158,157,Mayo Clinic,MN,,1740,7/15/2009,Unauthorized Access/Disclosure,Electronic Medical Record,23/01/14,,15/07/09,NA,2009
159,158,LabCorp Patient Service Center,NV,,507,08/02/10,Theft,Paper,23/01/14,,02/08/10,NA,2010
160,159,The Kent Center ,RI,,1361,7/13/2010,Theft,Paper,23/01/14,,13/07/10,NA,2010
161,160,"Pediatric and Adult Allergy, PC",IA,,19222,07/11/10,Loss,Other Portable Electronic Device,23/01/14,,11/07/10,NA,2010
162,161,Ault Chiropractic Center,IN,,2000,9/15/2010,Theft,"Laptop, Desktop Computer",23/01/14,,15/09/10,NA,2010
163,162,County of Los Angeles,CA,,33000,7/29/2010,Theft,Paper,23/01/14,,29/07/10,NA,2010
164,163,"Matthew H. Conrad, M.D., P.A.",KS,,1200,8/20/2010,Theft,"Laptop, Paper",23/01/14,,20/08/10,NA,2010
165,164,UnitedHealth Group health plan single affiliated covered entity,MN,CareCore National,1270,07/08/10,Other,Paper,23/01/14,,08/07/10,NA,2010
166,165,Counseling and Psychotherapy of Throggs Neck,NY,,9000,09/06/10,Theft,Desktop Computer,23/01/14,,06/09/10,NA,2010
167,166,United States Air Force,OH,,2123,7/29/2010,Improper Disposal,Paper,23/01/14,,29/07/10,NA,2010
168,167,"State of Alaska, Department of Health and Social Services",AK,Alaskan AIDS Assistance Association,2000,09/07/10,Theft,"Other Portable Electronic Device, Other",23/01/14,,07/09/10,NA,2010
169,168,"St. Vincent Hospital and Health Care Center, Inc.",IN,,1199,7/25/2010,Theft,Laptop,23/01/14,,25/07/10,NA,2010
170,169,Milford Regional Medical Center,MA,,20000,7/26/2010,Improper Disposal,Paper,23/01/14,,26/07/10,NA,2010
171,170,"Alliance HealthCare Services, Inc.",CA,Oroville Hospital,1474,7/31/2010,Theft,"Other Portable Electronic Device, Other",24/04/14,,31/07/10,NA,2010
172,171,"Alliance HealthCare Services, Inc.",CA,Eden Medical Center,1474,08/05/10,Theft,"Other Portable Electronic Device, Other",24/06/14,,05/08/10,NA,2010
173,172,NewYork-Presbyterian Hospital and Columbia University Medical Center,NY,,6800,07/01/10,Theft,Network Server,19/06/14,,01/07/10,NA,2010
174,173,St. James Hospital and Health Centers,IL,,967,08/10/10,Improper Disposal,Paper,23/01/14,,10/08/10,NA,2010
175,174,"University of Oklahoma - Tulsa, Neurology Clinic",OK,,19200,7/28/2010,Hacking/IT Incident,Desktop Computer,23/01/14,,28/07/10,NA,2010
176,175,"LORENZO BROWN, MD INC.",CA,,928,8/17/2010,Theft,Desktop Computer,23/01/14,,17/08/10,NA,2010
177,176,"Milton Pathology Associates, P.C.",MA,Joseph A. Gagnon d/b/a Goldthwait Associates,11000,7/26/2010,Improper Disposal,Paper,23/01/14,,26/07/10,NA,2010
178,177,WESTMED Medical Group,NY,,578,8/17/2010,Theft,Laptop,19/06/14,,17/08/10,NA,2010
179,178,"Debra C. Duffy, DDS",TX,,4700,08/05/10,Theft,"Laptop, Network Server",23/01/14,,05/08/10,NA,2010
180,179,"Cumberland Gastroenterology, P.S.C.",KY,,2200,9/18/2010,Theft,Paper,23/01/14,,18/09/10,NA,2010
181,180,Johns Hopkins University Applied Physics Laboratory (JHU/APL) Medical and Dental Insurance Plan,MD,,692,6/15/2010,Other,Other,23/01/14,,15/06/10,NA,2010
182,181,LoneStar Audiology Group,TX,,585,08/11/10,Theft,Laptop,23/01/14,,11/08/10,NA,2010
183,182,Utah Department of Health,UT,Utah Department of Workforce Services,1298,03/01/10,Other,"Desktop Computer, Paper",23/01/14,,01/03/10,NA,2010
184,183,SW Seattle Orthopaedic and Sports Medicine,WA,,9493,09/04/10,Hacking/IT Incident,Network Server,23/01/14,,04/09/10,NA,2010
185,184,University of Arkansas for Medical Sciences,AR,,1000,10/12/10,Theft,"Other Portable Electronic Device, Other",23/01/14,,12/10/10,NA,2010
186,185,"BlueCross BlueShield of Tennessee, Inc.",TN,,1023209,10/02/09,Theft,Other,23/01/14,,02/10/09,NA,2009
187,186,Northridge Hospital Medical Center,CA,,716,10/16/2010,Loss,Paper,23/01/14,,16/10/10,NA,2010
188,187,Puerto Rico Department of Health,PR,"Triple-S Management, Corp.; Triple-S Salud, Inc.; ",475000,10/03/08,"Unauthorized Access/Disclosure, Hacking/IT Incident",Network Server,23/01/14,,03/10/08,NA,2008
189,188,"Aetna, Inc.",CT,,2345,09/09/10,Unauthorized Access/Disclosure,Network Server,23/01/14,,09/09/10,NA,2010
190,189,Sta-home Health & Hospice,MS,,1104,9/16/2010,Theft,Desktop Computer,23/01/14,,16/09/10,NA,2010
191,190,Puerto Rico Department of Health,PR,Medical Card System/MCS-HMO/MCS Advantage/MCS Life,115000,09/03/10,Unauthorized Access/Disclosure,"Other Portable Electronic Device, Other",23/01/14,,03/09/10,NA,2010
192,191,VNA of Southeastern Ct.,CT,,12000,9/30/2010,Theft,Laptop,23/01/14,,30/09/10,NA,2010
193,192,"Prime Home Care, LLC",NE,,1550,9/13/2010,Theft,Desktop Computer,23/01/14,,13/09/10,NA,2010
194,193,Visiting Nurse Service Association of Schenectady County,NY,,535,9/14/2010,Theft,Laptop,19/06/14,,14/09/10,NA,2010
195,194,"Manor Care Indy (South), LLC.",IN,,845,09/11/10,Unauthorized Access/Disclosure,Paper,23/01/14,,11/09/10,NA,2010
196,195,"Robert Wheatley, DDS, PC",MO,,1400,10/17/2010,Theft,Laptop,23/01/14,,17/10/10,NA,2010
197,196,Henry Ford Hospital,MI,,3700,9/24/2010,Theft,Laptop,23/01/14,,24/09/10,NA,2010
198,197,Holy Cross Hospital,FL,,1500,7/27/2010,Theft,Paper,23/01/14,,27/07/10,NA,2010
199,198,Newark Beth Israel Medical Center,NJ,"Professional Transcription Company, Inc.",1744,01/01/10,Theft,Network Server,19/06/14,,01/01/10,NA,2010
200,199,Memorial Hospital of Gardena,CA,,771,10/14/2010,Unauthorized Access/Disclosure,Paper,23/01/14,,14/10/10,NA,2010
201,200,Oklahoma City VA Medical Center,OK,,1950,10/08/10,"Theft, Loss, Improper Disposal",Paper,23/01/14,,08/10/10,NA,2010
202,201,Albert Einstein Healthcare Network,PA,,613,10/21/2010,Theft,Desktop Computer,23/01/14,,21/10/10,NA,2010
203,202,Kings County Hospital Center,NY,,542,8/22/2010,Theft,Desktop Computer,19/06/14,,22/08/10,NA,2010
204,203,University of Tennessee Medical Center,TN,,8200,9/23/2009,Improper Disposal,Paper,23/01/14,,23/09/09,NA,2009
205,204,Ochsner Health System,LA,H.E.L.P. Financial Corporation,9475,9/27/2010,Unauthorized Access/Disclosure,Paper,23/01/14,,27/09/10,NA,2010
206,205,zarzamora family dental care,TX,,800,10/15/2010,Theft,Desktop Computer,23/01/14,,15/10/10,NA,2010
207,206,Hospital Auxilio Mutuo,PR,,1000,11/09/10,"Theft, Unauthorized Access/Disclosure, Hacking/IT Incident","Laptop, Desktop Computer",23/01/14,,09/11/10,NA,2010
